Razão Social;Fundo;Emissor;Código;Índice;Geografia;Mercado
IT NOW MSCI USA IMI GENOMIC INNOVATION SELECT 50;IT NOW DNA;IT NOW;DNAI;;US;TEC
IT NOW IFNC FUNDO DE ÍNDICE;IT NOW IFNC;IT NOW;FIND;FIND;BR;BR
IT NOW IGCT FUNDO DE ÍNDICE;IT NOW IGCT;IT NOW;GOVE;GOVE;BR;BR
IT NOW MORNINGSTAR XT US HEALTHCARE FDO. IND.;IT NOW HCARE;IT NOW;HTEK;;US;
IT NOW ISE FUNDO DE ÍNDICE;IT NOW ISE;IT NOW;ISUS;ISUS;BR;
IT NOW IMAT FUNDO DE ÍNDICE;IT NOW IMAT;IT NOW;MATB;MATB;BR;
IT NOW MSCI USA IMI MILLENIALS SELECT 50 FDO. IND.;IT NOW MILL;IT NOW;MILL;;US;
IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;IT NOW PIBB;IT NOW;PIBB;;BR;
IT NOW RUSSELL® 1000 GREEN REVENUES 50 FDO DE IND;IT NOW GREEN;IT NOW;REVE;;US;
IT NOW S&P® KENSHO® MOONSHOTS FUNDO DE ÍNDICE;IT NOW SHOT;IT NOW;SHOT;;US;
IT NOW SMALL CAPS FDO ÍNDICE;IT NOW SMALL;IT NOW;SMAC;SMALLCAPS;BR;SML
IT NOW S&P500 TRN FUNDO DE INDICE;IT NOW SPXI;IT NOW;SPXI;SP500;US;US
IT NOW NYSE FANG+TM FUNDO DE ÍNDICE;IT NOW TECK;IT NOW;TECK;;US;
IT NOW S&P® KENSHO® HYDROGEN FUNDO DE ÍNDICE;IT NOW HYDRO;IT NOW;YDRO;;US;
MORNINGSTAR SETORES CÍCLICOS BRASIL FDO IND;B INDEX CICL;MORNINGSTAR;BCIC;;BR;
NU RENDA IBOV SMART DIVIDENDOS FUNDO DE ÍNDICE;NU REND IBOV;NUBANK;NDIV;;BR;
NU IBOV SMART DIVIDENDOS FUNDO DE ÍNDICE;NU IBOV DIV;NUBANK;NSDV;;BR;
QR CME CF BITCOIN REFERENCE RATE FDO. IND. INV. EX;QR BITCOIN;QR;QBTC;BTC;CRIPTO;
QR BLOOMBERG DEFI FDO DE ÍNDICE - INV NO EXTERIOR;QR DEFI;QR;QDFI;;CRIPTO;
QR CME CF ETHER REFERENCE RATE FDO DE IND IE;QR ETHER;QR;QETH;;CRIPTO;
SAFRA IBOVESPA FUNDO DE ÍNDICE;SAFRAETFIBOV;SAFRA;BOVS;IBOV;BR;
SAFRA ETF MULHERES NA LIDERANÇA FDO DE ÍND AÇÕES;SAFRAETFELAS;SAFRA;ELAS;;BR;
TREND ETF MSCI ACWI FDO. INV. ÍNDICE - INVEST. EXT;TREND ACWI;XP;ACWI;;US;
TREND ETF IBOVESPA FUNDO DE ÍNDICE;TREND IBOVX;XP;BOVX;IBOV;BR;
TREND ETF MSCI EAFE ESG FDO INV INDICE - IE;TREND ESG D;XP;ESGD;;US;
TREND ETF MSCI EMERGING MARKETS ESG FDO INV IND IE;TREND ESG E;XP;ESGE;;EM;
TREND ETF MSCI USA ESG FDO DE INV DE ÍNDICE - IE;TREND ESG US;XP;ESGU;;US;
TREND ETF MSCI EUROPA FDO. INV. ÍNDICE - INV. EXT.;TREND EUROPA;XP;EURP;;EU;
TREND ETF LBMA OURO FDO. INV. ÍNDICE - INVEST. EXT;TREND OURO;XP;GOLD;;AU;
TREND ETF NASDAQ 100 FDO. INV. ÍNDICE. INV. EXT.;TREND NASDAQ;XP;NASD;;US;
TREND ETF FTSE US REITS FUNDO DE INVEST DE ÍNDICE;TREND U REIT;XP;URET;;US;
TREND ETF CRSP U.S. LARGE CAP FDO INV IND;TREND US LRG;XP;USAL;;US;
TREND ETF MSCI US TECHNOLOGY FDO INV DE ÍNDICE;TREND US TEC;XP;UTEC;;US;
TREND ETF IFIX-L FUNDO DE ÍNDICE;TREND IFIX-L;XP;XFIX;;BR;
TREND ETF MSCI CHINA FDO. INV. ÍNDICE - INV. EXT.;TREND CHINA;XP;XINA;;CN;
